page,type,x0,y0,x1,y1,width,height,area,source
1,s,745.9199829101562,1251.9000244140625,746.1599731445312,1252.02001953125,0.239990234375,0.1199951171875,0.028797656297683716,vector
1,s,742.6199340820312,1249.6199951171875,745.1399536132812,1250.6400146484375,2.52001953125,1.02001953125,2.5704691410064697,vector
1,s,739.260009765625,1247.280029296875,744.1799926757812,1249.320068359375,4.91998291015625,2.0400390625,10.036957323551178,vector
1,s,735.9599609375,1244.93994140625,743.219970703125,1247.93994140625,7.260009765625,3.0,21.780029296875,vector
1,s,732.6000366210938,1242.5999755859375,742.2000122070312,1246.6199951171875,9.5999755859375,4.02001953125,38.59208935499191,vector
1,s,729.2999877929688,1240.260009765625,741.239990234375,1245.239990234375,11.94000244140625,4.97998046875,59.46097895503044,vector
1,s,725.93994140625,1237.9200439453125,740.2799682617188,1243.9200439453125,14.34002685546875,6.0,86.0401611328125,vector
1,s,722.6400146484375,1235.580078125,739.260009765625,1242.5400390625,16.6199951171875,6.9599609375,115.67451679706573,vector
1,s,719.2799682617188,1233.239990234375,738.2999877929688,1241.219970703125,19.02001953125,7.97998046875,151.77938437461853,vector
1,s,715.97998046875,1230.9000244140625,737.3399658203125,1239.9000244140625,21.3599853515625,9.0,192.2398681640625,vector
1,s,712.6199951171875,1228.56005859375,736.3200073242188,1238.52001953125,23.70001220703125,9.9599609375,236.0511958003044,vector
1,s,709.3200073242188,1226.280029296875,735.3599853515625,1237.2000732421875,26.03997802734375,10.9200439453125,284.35770439356565,vector
1,s,706.3799438476562,1223.93994140625,734.3999633789062,1235.639892578125,28.02001953125,11.699951171875,327.8328603506088,vector
1,s,707.760009765625,1221.5999755859375,733.3800048828125,1232.3399658203125,25.6199951171875,10.739990234375,275.15849736332893,vector
1,s,709.1400146484375,1219.260009765625,732.4199829101562,1229.0400390625,23.27996826171875,9.780029296875,227.67877162992954,vector
1,s,710.4599609375,1216.9200439453125,731.4599609375,1225.6800537109375,21.0,8.760009765625,183.960205078125,vector
1,s,711.8400268554688,1214.580078125,730.4400024414062,1222.380126953125,18.5999755859375,7.800048828125,145.0807177722454,vector
1,s,713.219970703125,1212.239990234375,729.47998046875,1219.0799560546875,16.260009765625,6.8399658203125,111.21791103482246,vector
1,s,714.5999755859375,1209.9000244140625,728.5199584960938,1215.719970703125,13.91998291015625,5.8199462890625,81.01355288177729,vector
1,s,715.97998046875,1207.56005859375,727.5599975585938,1212.4200439453125,11.58001708984375,4.8599853515625,56.278713427484035,vector
1,s,717.3599853515625,1205.219970703125,726.5399780273438,1209.1199951171875,9.17999267578125,3.9000244140625,35.80219555646181,vector
1,s,718.7399291992188,1202.8800048828125,725.5799560546875,1205.760009765625,6.84002685546875,2.8800048828125,19.69931074231863,vector
1,s,720.0599975585938,1200.60009765625,724.6199951171875,1202.4600830078125,4.55999755859375,1.8599853515625,8.481528662145138,vector
1,s,721.4400024414062,1198.260009765625,723.5999755859375,1199.1600341796875,2.15997314453125,0.9000244140625,1.944028563797474,vector
1,s,1738.8599853515625,912.1800537109375,1740.8399658203125,914.1000366210938,1.97998046875,1.91998291015625,3.801528662443161,vector
1,s,1738.8599853515625,912.1799926757812,1743.239990234375,916.5,4.3800048828125,4.32000732421875,18.921653173863888,vector
1,s,1738.919921875,912.1800537109375,1745.5799560546875,918.8400268554688,6.6600341796875,6.65997314453125,44.35564877837896,vector
1,s,1741.3199462890625,912.1800537109375,1747.97998046875,918.8400268554688,6.6600341796875,6.65997314453125,44.35564877837896,vector
1,s,1752.3599853515625,905.4000244140625,1754.760009765625,907.800048828125,2.4000244140625,2.4000244140625,5.7601171880960464,vector
1,s,1743.719970703125,912.1800537109375,1750.3800048828125,918.8400268554688,6.6600341796875,6.65997314453125,44.35564877837896,vector
1,s,1752.3599853515625,905.4000244140625,1757.0999755859375,910.2000122070312,4.739990234375,4.79998779296875,22.751895263791084,vector
1,s,1746.1199951171875,905.4000244140625,1759.5,918.8400268554688,13.3800048828125,13.44000244140625,179.82729829102755,vector
1,s,1748.52001953125,905.4000244140625,1761.9000244140625,918.8400268554688,13.3800048828125,13.44000244140625,179.82729829102755,vector
1,s,1750.8599853515625,905.4000244140625,1764.2999267578125,918.8400268554688,13.43994140625,13.44000244140625,180.63284531235695,vector
1,s,1753.260009765625,905.4000244140625,1766.699951171875,918.8400268554688,13.43994140625,13.44000244140625,180.63284531235695,vector
1,s,1755.659912109375,905.4000244140625,1769.0399169921875,918.8400268554688,13.3800048828125,13.44000244140625,179.82729829102755,vector
1,s,1758.0599365234375,906.4800415039062,1770.3599853515625,918.8400268554688,12.300048828125,12.3599853515625,152.0284233391285,vector
1,s,1760.39990234375,908.8800048828125,1770.35986328125,918.8400268554688,9.9599609375,9.96002197265625,99.20142978429794,vector
1,s,1762.7999267578125,911.280029296875,1770.3599853515625,918.8400268554688,7.56005859375,7.55999755859375,57.1540245115757,vector
1,fs,1052.8199462890625,159.840087890625,1058.7598876953125,165.78009033203125,5.93994140625,5.94000244140625,35.283266454935074,vector
1,fs,1052.820068359375,165.780029296875,1058.820068359375,165.84002685546875,6.0,0.05999755859375,0.3599853515625,vector
1,fs,1054.43994140625,165.840087890625,1059.1199951171875,166.1400909423828,4.6800537109375,0.3000030517578125,1.4040303956717253,vector
1,fs,1056.0,166.1400146484375,1059.5400390625,166.5600128173828,3.5400390625,0.4199981689453125,1.4868099242448807,vector
1,fs,1057.5599365234375,166.56005859375,1060.139892578125,167.16006469726562,2.5799560546875,0.600006103515625,1.5479893796145916,vector
1,fs,1059.0,167.1600341796875,1060.9200439453125,167.94003295898438,1.9200439453125,0.779998779296875,1.4976319335401058,vector
1,fs,1060.43994140625,167.9400634765625,1062.89990234375,169.92005920410156,2.4599609375,1.9799957275390625,4.870712146162987,vector
1,fs,1060.43994140625,167.9400634765625,1061.8798828125,168.9000701904297,1.43994140625,0.9600067138671875,1.3823534175753593,vector
1,fs,1062.9000244140625,169.9200439453125,1064.219970703125,171.24005126953125,1.3199462890625,1.32000732421875,1.7423387691378593,vector
1,fs,1064.0399169921875,171.239990234375,1065.5999755859375,172.67999267578125,1.56005859375,1.44000244140625,2.246488183736801,vector
1,fs,1065.0599365234375,172.6800537109375,1067.1600341796875,174.1800537109375,2.10009765625,1.5,3.150146484375,vector
1,fs,1065.840087890625,174.1800537109375,1068.780029296875,175.800048828125,2.93994140625,1.6199951171875,4.762690722942352,vector
1,fs,1066.4400634765625,175.800048828125,1070.4600830078125,177.48004150390625,4.02001953125,1.67999267578125,6.753603368997574,vector
1,fs,1066.8599853515625,177.47998046875,1072.1400146484375,179.15997314453125,5.280029296875,1.67999267578125,8.870410546660423,vector
1,fs,1067.0400390625,179.1600341796875,1072.97998046875,180.06002807617188,5.93994140625,0.899993896484375,5.345911011099815,vector
1,fs,1067.0400390625,180.06005859375,1072.97998046875,180.90005493164062,5.93994140625,0.839996337890625,4.989529028534889,vector
1,fs,1066.8599853515625,180.9000244140625,1072.1400146484375,182.58001708984375,5.280029296875,1.67999267578125,8.870410546660423,vector
1,fs,1066.43994140625,182.580078125,1070.4599609375,184.26007080078125,4.02001953125,1.67999267578125,6.753603368997574,vector
1,fs,1065.840087890625,184.260009765625,1068.780029296875,185.8800048828125,2.93994140625,1.6199951171875,4.762690722942352,vector
1,fs,1065.06005859375,185.8800048828125,1067.1600341796875,187.3800048828125,2.0999755859375,1.5,3.14996337890625,vector
1,fs,1062.89990234375,187.3800048828125,1065.0599365234375,190.13999938964844,2.1600341796875,2.7599945068359375,5.96168247051537,vector
1,fs,1064.219970703125,187.3800048828125,1065.5999755859375,188.82000732421875,1.3800048828125,1.44000244140625,1.987210400402546,vector
1,fs,1061.7000732421875,190.1400146484375,1062.9000244140625,191.16001892089844,1.199951171875,1.0200042724609375,1.2239553220570087,vector
1,fs,1060.4400634765625,191.1600341796875,1061.8800048828125,192.1200408935547,1.43994140625,0.9600067138671875,1.3823534175753593,vector
1,fs,1058.9998779296875,192.1199951171875,1060.919921875,192.89999389648438,1.9200439453125,0.779998779296875,1.4976319335401058,vector
1,fs,1057.56005859375,192.9000244140625,1060.1400146484375,193.50003051757812,2.5799560546875,0.600006103515625,1.5479893796145916,vector
1,fs,1055.9998779296875,193.5,1059.5399169921875,193.9199981689453,3.5400390625,0.4199981689453125,1.4868099242448807,vector
